2017-06-20 10:24:03,863 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\JavaWebProject\ChuyenDeWeb\pom.xml
2017-06-20 10:24:10,302 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.cdweb:ChuyenDeWeb:0.0.1-SNAPSHOT @ D:\JavaWebProject\ChuyenDeWeb\pom.xml.
2017-06-20 10:24:12,179 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ChuyenDeWeb/src/main/java
2017-06-20 10:24:12,180 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ChuyenDeWeb/src/main/resources
2017-06-20 10:24:12,181 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ChuyenDeWeb/src/test/java
2017-06-20 10:24:18,123 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 14 sec
2017-06-20 10:24:19,392 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 10:24:19,413 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-20 10:24:19,435 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 10:24:19,483 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\JavaWebProject\ChuyenDeWeb\src\test\resources
2017-06-20 10:24:19,717 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 10:24:19,725 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
